,Sr No,startup,vertical,city,investors,round,amount,year,state
2622,2623,Black Soil,Finance,Mumbai,"Allcargo logistics, Navneet education and mahavir agency",Private Equity,140.25,2018,Maharashtra
2623,2624,Blackbuck,Logistics,Bengaluru,Undisclosed,Series D,203.0,2018,Karnataka
2624,2625,Blackbuck,Logistics,Bengaluru,Sequoia capital india,Private Funding,121.11,2018,Karnataka
2625,2626,Blackbuck,Logistics,Bengaluru,Tiger global,Series A,8.25,2018,Karnataka
2626,2627,BlueJack,Automotive,New Delhi,Undisclosed,Seed,6.4,2018,Delhi
2627,2628,Blueleaf Cyberspace Systems,Internet,Bengaluru,Undisclosed,Seed,0.0,2018,Karnataka
2628,2629,Bombay Shaving,Personal Care,New Delhi,Undisclosed,Series A,0.0,2018,Delhi
2629,2630,Bon(Bonfleet Solutions),FinTech,Pune,Undisclosed,Seed,7.8,2018,Maharashtra
2630,2631,Bonphul Air Products,Energy,New Delhi,Undisclosed,Angel,2.0,2018,Delhi
2631,2632,Bonphulapl,Food ,New Delhi,Atul gupta and saurabh rastogi,Seed/ Angel Funding,2.42,2018,Delhi
2632,2633,Boodmo,Automotive,Gurugram,Undisclosed,Seed,7.0,2018,Haryana
2633,2634,Book My Show,Consumer Internet,Mumbai,"Tpg growth, The rise fund & others",Private Equity,825.0,2018,Maharashtra
2634,2635,Bounce,Transportation,Bengaluru,Undisclosed,Debt Financing,0.3,2018,Karnataka
2635,2636,BrowserStack,Technology,Mumbai,Accel partners,Private Equity,412.5,2018,Maharashtra
2636,2637,Buddy4studdy,Careers,Noida,Cba capital and others,Private Equity,24.75,2018,Uttar Pradesh
2637,2638,Buddy4studdy,Careers,Noida,Undisclosed,Series A,0.3,2018,Uttar Pradesh
2638,2639,Bugworks,BioTech,Bengaluru,Undisclosed,Series A,0.9,2018,Karnataka
2639,2640,BuildSupply,IT,Gurugram,"Venture highway, Gree ventures, Space matrix, Individual investors",Series A,28.88,2018,Haryana
2640,2641,BuildSupply,IT,Gurugram,Undisclosed,Series A,25.0,2018,Haryana
2641,2642,BuyForexOnline,Travel,Bengaluru,Undisclosed,https://docs.google.com/spreadsheets/d/1x9ziNeaz6auNChIHnMI8U6kS7knTr3byy_YBGfQaoUA/edit#gid=1861303593,0.2,2018,Karnataka
2642,2643,BYJU'S,EdTech,Bengaluru,Undisclosed,Private Equity,0.0,2018,Karnataka
2643,2644,Capillary,IT,Bengaluru,"Wargburg pincus, Sequoia",Private Equity,165.0,2018,Karnataka
2644,2645,Capital Float,Finance,Bengaluru,Amazon,Private Equity,181.5,2018,Karnataka
2645,2646,Carcrew,Automotive,Mumbai,Undisclosed,Seed,0.2,2018,Maharashtra
2646,2647,CarDekho,Automotive,Gurugram,Undisclosed,Series C,7.5,2018,Haryana
2647,2648,Career Anna,Careers,Gurugram,Individual investors,Pre-Series A,4.72,2018,Haryana
2648,2649,Career Anna,Careers,Bengaluru,Undisclosed,Seed,4.0,2018,Karnataka
2649,2650,Carmel Organics,AgriTech,Indore,Undisclosed,Series A,0.0,2018,Madhya Pradesh
2650,2651,Carmesi,Healthcare,Gurugram,Undisclosed,Seed,3.4,2018,Haryana
2651,2652,CARS25,Automotive,Gurugram,"Kingsway fci fund, Kck global & others",Private Equity,410.03,2018,Haryana
2652,2653,Cash Suvidha,Finance,New Delhi,"Initia holdings, Vipin agarwal and others.",Seed / Angel Funding,8.25,2018,Delhi
2653,2654,Cash Suvidha,Finance,New Delhi,Undisclosed,Seed,0.1,2018,Delhi
2654,2655,Cashify,FinTech,Gurugram,Trifecta capital,Debt Funding,7.71,2018,Haryana
2655,2656,Cashkumar,FinTech,Bengaluru,Letsventure,Seed/ Angel Funding,6.06,2018,Karnataka
2656,2657,Cashkumar,FinTech,Bengaluru,Undisclosed,Seed,5.0,2018,Karnataka
2657,2658,CashRich,FinTech,Mumbai,Undisclosed,Seed,0.0,2018,Maharashtra
2658,2659,Cell Propulsion,Aerospace,Bengaluru,Undisclosed,Seed,0.7,2018,Karnataka
2659,2660,Cellerite Systems,Transportation,Hyderabad,Undisclosed,Seed,0.0,2018,Telangana
2660,2661,Chaayos,Food,New Delhi,Undisclosed,Series B,81.0,2018,Delhi
2661,2662,Chai Kings,Food,Chennai,Undisclosed,Seed,2.0,2018,Tamil Nadu
2662,2663,Chakr Innovation,Technology,New Delhi,Undisclosed,Seed,0.0,2018,Delhi
2663,2664,Charcoal Eats,Food,Mumbai,Undisclosed,Seed,5.0,2018,Maharashtra
2664,2665,Chargebee,Technology,Chennai,"Insight venture partners, Accel partners and tiger global management.",Private Equity,148.5,2018,Tamil Nadu
2665,2666,Chariot Tech,IoT,New Delhi,Undisclosed,Seed,2.0,2018,Delhi
2666,2667,Chezuba,Internet,Bangalore,Undisclosed,Angel,0.14,2018,Karnataka
2667,2668,Chizel,Design,Pune,Undisclosed,Seed,0.0,2018,Maharashtra
2668,2669,Chrysalis,EdTech,Pune,Menterra venture & artha initiatives,Seed/ Angel Funding,0.0,2018,Maharashtra
2669,2670,Chrysalis (EZ Vidya),Education,Chennai,Undisclosed,Seed,0.0,2018,Tamil Nadu
2670,2671,Chtrbox,Media,Mumbai,Undisclosed,Angel,1.0,2018,Maharashtra
2671,2672,CivilCops,Technology,Gurugram,Undisclosed,Pre-Seed,0.0,2018,Haryana
2672,2673,Classworks India,Education,Chennai,Undisclosed,Undisclosed,0.01,2018,Tamil Nadu
2673,2674,CleanseCar,Services,Bengaluru,Venture catalysts,Seed/ Angel Funding,4.13,2018,Karnataka
2674,2675,CleanseCar,Services,Bengaluru,Undisclosed,Angel,3.5,2018,Karnataka
2675,2676,Cleardekho,Internet,Ghaziabad,Undisclosed,Venture - Series Unknown,0.0,2018,Uttar Pradesh
2676,2677,ClearTax,FinTech,New Delhi,Undisclosed,Series B,400.0,2018,Delhi
2677,2678,Clensta,BioTech,New Delhi,Undisclosed,Seed,0.0,2018,Delhi
2678,2679,CleverTap,Technology,Mumbai,"Recruit holdings, Sequoia capital india, Accel partners",Angel / Seed Funding,0.0,2018,Maharashtra
2679,2680,Cloudnine Hospitals,Healthcare,Bengaluru,Undisclosed,Private Equity,0.0,2018,Karnataka
2680,2681,CloudSek,IT,Bengaluru,Undisclosed,Seed,14.0,2018,Karnataka
2681,2682,CLP India Pvt. Ltd.,Energy,Mumbai,Undisclosed,Private Equity,36.5,2018,Maharashtra
2682,2683,Cogoport,Transportation,Mumbai,Undisclosed,Series A,0.6,2018,Maharashtra
2683,2684,CoinGeto,FinTech,New Delhi,Undisclosed,Seed,12.0,2018,Delhi
2684,2685,CoinTribe,Finance,Gurugram,"Sabre partners, Puneet dalmia & others",Private Equity,82.5,2018,Haryana
2685,2686,Colive.in,Hospitality,Bengaluru,Undisclosed,Seed,0.18,2018,Karnataka
2686,2687,CollegeDekho,EdTech,Gurugram,"Man capital llp, Girnar software, Others",Private Equity,16.5,2018,Haryana
2687,2688,CollPoll,Consumer Internet,Bengaluru,Undisclosed,Seed,0.0,2018,Karnataka
2688,2689,Connect India,Logistics,New Delhi,Undisclosed,Angel,0.0,2018,Delhi
2689,2690,Corefactors,Marketing,Bengaluru,Undisclosed,Seed,0.0,2018,Karnataka
2690,2691,Coutloot,E-Commerce,Mumbai,Undisclosed,Seed,0.1,2018,Maharashtra
2691,2692,CoverFox,FinTech,Mumbai,"International finance corporation, Transamerica and others.",Private Equity,181.5,2018,Maharashtra
2692,2693,CoverFox,FinTech,Mumbai,Aegon nv,Private Equity,62.7,2018,Maharashtra
2693,2694,Creator’s Gurukul,Education,Gurugram,Undisclosed,Angel,0.0,2018,Haryana
2694,2695,Cred,FinTech,Bengaluru,Undisclosed,Seed,0.0,2018,Karnataka
2695,2696,Creditas Solutions,Finance,Gurugram,Undisclosed,Seed,0.0,2018,Haryana
2696,2697,Credright,Consumer Internet,Hyderabad,"Accion venture lab, Yournest venture capital and other angel investors",Seed/ Angel Funding,10.73,2018,Telangana
2697,2698,Credy,IT,Bengaluru,"Y combinator, Khosla ventures, Vy capital and others",Seed / Angel Funding,11.55,2018,Karnataka
2698,2699,Credy,IT,Bengaluru,Undisclosed,Seed,0.14,2018,Karnataka
2699,2700,Cricnwin,Entertainment,Gurugram,Undisclosed,Seed,0.0,2018,Haryana
2700,2701,CropIn Technologies,Technology,Bengaluru,Undisclosed,Series B,58.0,2018,Karnataka
2701,2702,Crowdera,Finance,Nagpur,"Anil advani, Pramod jain, Amrendra reddy and manish satnaliwala.",Seed/ Angel Funding,0.0,2018,Maharashtra
2702,2703,Cube,FinTech,Mumbai,Undisclosed,Series A,14.0,2018,Maharashtra
2703,2704,CureFit,Healthcare,Bengaluru,"Idg ventures, Accel partners, Kalaari capital and others",Private Equity,990.0,2018,Karnataka
2704,2705,CureFit,Healthcare,Bengaluru,"Hdfc bank, Axis bank",Debt Funding,82.5,2018,Karnataka
2705,2706,CustomerSucessBox,Technology,Gurugram,"Pi ventures, Axilor ventures",Seed / Angel Funding,8.25,2018,Haryana
2706,2707,Cyclops Medtech,Healthcare,Bengaluru,Undisclosed,Seed,0.1,2018,Karnataka
2707,2708,DAAKI,E-Commerce,Bengaluru,Rohan agila,Angel / Seed Funding,0.0,2018,Karnataka
2708,2709,Daaki,Healthcare,Bengaluru,Undisclosed,Angel,0.0,2018,Karnataka
2709,2710,Daily Ninja,Consumer Internet,Bengaluru,Saama capital and sequoia capital,Seed/ Angel Funding,24.75,2018,Karnataka
2710,2711,DailyHunt,Media,Bengaluru,Falcon edge,Private Equity,52.72,2018,Karnataka
2711,2712,DailyHunt,Media,Bengaluru,Undisclosed,Series E,0.6,2018,Karnataka
2712,2713,DailyNinja,E-Commerce,Bengaluru,Undisclosed,Series A,0.0,2018,Karnataka
2713,2714,Dainik Jagran,Media,Kanpur,Undisclosed,Seed,4.0,2018,Uttar Pradesh
2714,2715,DataTrained,EdTech,Bengaluru,Undisclosed,Seed,12.0,2018,Karnataka
2715,2716,Dee Dee Labs,Healthcare,Pune,Undisclosed,Seed,0.0,2018,Maharashtra
2716,2717,Deftouch,Technology,Bengaluru,Undisclosed,Seed,0.0,2018,Karnataka
2717,2718,Design Cafe,Design,Bengaluru,Undisclosed,Series B,200.0,2018,Karnataka
2718,2719,Detect Technologies,AI,Chennai,Undisclosed,Series A,0.0,2018,Tamil Nadu
2719,2720,DheeYantra Research Labs,AI,Bengaluru,Undisclosed,Seed,0.0,2018,Karnataka
2720,2721,Digiconectt,Technology,Bengaluru,Aspire logistics llc,Seed/ Angel Funding,1.03,2018,Karnataka
2721,2722,Digiconectt,Technology,Bengaluru,Undisclosed,Seed,0.01,2018,Karnataka
2722,2723,Digit,Technology,Bengaluru,Fairfax,Private Equity,371.25,2018,Karnataka
2723,2724,dishq,Food,Bengaluru,"Farm to fork, Arts alliance, The syndicate fund, Sven hensen, Zeroth and artesian venture partners",Seed/ Angel Funding,3.3,2018,Karnataka
2724,2725,dishq,Food,Bengaluru,Undisclosed,Seed,0.04,2018,Karnataka
2725,2726,Disprz,EdTech,Chennai,"Il&fs private equity, Kae capital & others",Seed / Angel Funding,20.63,2018,Tamil Nadu
2726,2727,Disprz,EdTech,Chennai,Undisclosed,Debt Financing,0.04,2018,Tamil Nadu
2727,2728,DocPrime,Healthcare,Haryana,Undisclosed,Funding Round,5.0,2018,Haryana
2728,2729,docturnal,Healthcare,Hyderabad,Undisclosed,Seed,0.0,2018,Telangana
2729,2730,DoodhWala,Delivery,Bengaluru,Undisclosed,Seed,0.22,2018,Karnataka
2730,2731,Doubtnut,EdTech,Gurugram,Undisclosed,Seed,3.5,2018,Haryana
2731,2732,Doxper,Healthcare,Mumbai,Vidal healthcare,Seed / Angel Funding,15.68,2018,Maharashtra
2732,2733,Doxper,Healthcare,Mumbai,Undisclosed,Seed,7.2,2018,Maharashtra
2733,2734,Dream11,Sports,Mumbai,"Tencent, Kalaari capital and private equity firm multiples alternate asset management",Private Equity,825.0,2018,Maharashtra
2734,2735,Dream11,Sports,Mumbai,Undisclosed,Series D,10.0,2018,Maharashtra
2735,2736,Drip capital,Finance,Mumbai,"Accel partners, Sequoia india, Y combinator and others.",Private Equity,123.75,2018,Maharashtra
2736,2737,DriveU,Transportation,Bengaluru,Amit singhal and unitus seed fund,Private Equity,24.75,2018,Karnataka
2737,2738,DriveU,Transportation,Bengaluru,Stevens creek ventures,Mezzanine,8.25,2018,Karnataka
2738,2739,DriveU,Transportation,Bengaluru,Undisclosed,Venture - Series Unknown,7.0,2018,Karnataka
2739,2740,Drivezy,Transportation,Bengaluru,Undisclosed,Debt Financing,0.0,2018,Karnataka
2740,2741,DronaHQ,Technology,Mumbai,Undisclosed,Angel,0.05,2018,Maharashtra
2741,2742,Droni Tech,IT,Mumbai,Undisclosed,Seed,3.5,2018,Maharashtra
2742,2743,Droom,E-Commerce,Gurugram,Zigexn,Series E,24.75,2018,Haryana
2743,2744,Droom,E-Commerce,Gurugram,Undisclosed,Series E,3.0,2018,Haryana
2744,2745,Drstore,Healthcare,Mumbai,Undisclosed,Seed,0.0,2018,Maharashtra
2745,2746,Dunzo,Delivery,Bengaluru,Undisclosed,Debt Financing,7.0,2018,Karnataka
2746,2747,Duroflex Pvt. Ltd.,Households,Alleppey,Undisclosed,Private Equity,2.2,2018,Kerala
2747,2748,EarlySalary,FinTech,Pune,Eight roads ventures india,Private,129.53,2018,Maharashtra
2748,2749,Earth Food,Food,Pune,Undisclosed,Seed,6.4,2018,Maharashtra
2749,2750,Earth Food,Food ,Pune,Rairah corporation,Seed / Angel Funding,7.83,2018,Maharashtra
2750,2751,EazyDiner,Consumer Internet,Gurugram,Denlow investment trust and beenext,Private Equity,48.26,2018,Haryana
2751,2752,Edureka,EdTech,Bengaluru,Leo capital,Seed/ Angel Funding,16.5,2018,Karnataka
2752,2753,Edureka,EdTech,Bengaluru,Undisclosed,Series A,0.2,2018,Karnataka
2753,2754,Eduvanz,Finance,Mumbai,Undisclosed,Angel,0.05,2018,Maharashtra
2754,2755,Edyoo,Education,Bengaluru,Rs shanbag,Seed/ Angel Funding,6.06,2018,Karnataka
2755,2756,Edyoo,Education,Bengaluru,Undisclosed,Seed,0.1,2018,Karnataka
2756,2757,Eggoz,Food,Indore,Undisclosed,Angel,1.2,2018,Madhya Pradesh
2757,2758,EGK Foods,Food,Mumbai,Undisclosed,Seed,2.0,2018,Maharashtra
2758,2759,eKincare,Healthcare,Hyderabad,"Ventureast, Endiya partners, Eight roads ventures, Touchstone equities, Bvr mohan reddy",Private Equity,12.38,2018,Telangana
2759,2760,eKincare,Healthcare,Hyderabad,Undisclosed,Series A,0.15,2018,Telangana
2760,2761,ElasticRun,Transportation,Pune,Undisclosed,Series B,60.0,2018,Maharashtra
2761,2762,Elemential,Data Analytics,Mumbai,Undisclosed,Seed,0.1,2018,Maharashtra
2762,2763,Elemential,Data Analytics,Mumbai,"Matrix partner, Amrish rau, Investopad, Digital currency group, Hinduja group, Lightspeed india, Eight innovate, Amit ranjan, Prashant malik and others",Seed / Angel Funding,0.0,2018,Maharashtra
2763,2764,Elucidata,IT,New Delhi,Hyperplane venture capital and several angel investors,Seed/ Angel Funding,14.03,2018,Delhi
2764,2765,Em Personal Care,Personal Care,Worli,Undisclosed,Seed,0.0,2018,Maharashtra
2765,2766,Emflux Motors,Transportation,Bengaluru,Undisclosed,Seed,0.04,2018,Karnataka
2766,2767,Emojifi,Consumer Internet,Bengaluru,Undisclosed,Seed,0.0,2018,Karnataka
2767,2768,Enakshi,Personal Care,Ahmedabad,Undisclosed,Seed,0.8,2018,Gujarat
2768,2769,Engineer.ai,AI,Gurugram,"Lakestar and jungle ventures, Softbank's deepcore.",Series A,243.38,2018,Haryana
2769,2770,ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,AI,Pune,Undisclosed,Seed,0.02,2018,Maharashtra
2770,2771,Entropik,AI,Bengaluru,"Bharat innovation, Idfc-parampara capital, Arthavida ventures, Jitendra gupta & others",Seed/ Angel Funding,9.08,2018,Karnataka
2771,2772,Entropik,AI,Bengaluru,Undisclosed,Seed,0.11,2018,Karnataka
2772,2773,Eruditus,Education,Mumbai,Undisclosed,Series C,0.0,2018,Maharashtra
2773,2774,eshakti,E-Commerce,Chennai,Paragon partners,Private Equity,83.33,2018,Tamil Nadu
2774,2775,Eunimart,E-Commerce,Hyderabad,Undisclosed,Seed,0.0,2018,Telangana
2775,2776,Eupheus Learning,EdTech,New Delhi,Undisclosed,Seed,0.0,2018,Delhi
2776,2777,Events High,Consumer Internet,Bengaluru,Treebo,Private Equity,0.0,2018,Karnataka
2777,2778,FabAlley,E-Commerce,Noida,Undisclosed,Series B,60.0,2018,Uttar Pradesh
2778,2779,Faclon Labs,Software,Mumbai,Undisclosed,Seed,0.0,2018,Maharashtra
2779,2780,Farmers Fresh Zone,AgriTech,Kochi,Undisclosed,Seed,0.0,2018,Kerala
2780,2781,FarmTaaza,AgriTech,Bengaluru,Undisclosed,Series A,0.0,2018,Karnataka
2781,2782,Fasal,Agriculture,Bengaluru,Undisclosed,Seed,0.01,2018,Karnataka
2782,2783,FastFox,Consumer Internet,Gurugram,Undisclosed,Series A,10.0,2018,Haryana
2783,2784,FeedMyPockets,Finance,Bengaluru,Undisclosed,Seed,4.4,2018,Karnataka
2784,2785,Fincash,Finance,Mumbai,"Mohammed khan, Sameer narayan & others",Seed / Angel Funding,1.24,2018,Maharashtra
2785,2786,Fincash,Finance,Mumbai,Undisclosed,Seed,0.02,2018,Maharashtra
2786,2787,Fingerlix,Food,Mumbai,Alteria capital,Debt Funding,10.81,2018,Maharashtra
2787,2788,Finova Capital,Consumer Internet,Jaipur,Sequoia capital,Private Equity,49.5,2018,Rajasthan
2788,2789,Finwego,FinTech,Chennai,Undisclosed,Seed,0.0,2018,Tamil Nadu
2789,2790,Finzy,Finance,Bengaluru,Undisclosed,Seed,0.13,2018,Karnataka
2790,2791,Fitternity,Consumer Internet,Mumbai,"Exfinity venture, Saha fund partners, Arihant patni of patni family office, Anjali bansal, Shardul amarchand mangaldas, Satish khanna and taparia family office.",Private Equity,16.5,2018,Maharashtra
2791,2792,Fitternity,Consumer Internet,Mumbai,Undisclosed,Seed,0.2,2018,Maharashtra
2792,2793,Five Star Group,FinTech,Chennai,"Tpg, Norwest venture partners, Sequoia capital & matrix partners",Private Equity,825.0,2018,Tamil Nadu
2793,2794,Fixpocket,Marketing,Ahmedabad,Undisclosed,Seed,0.03,2018,Gujarat
2794,2795,Flathalt,Real Estate,Gurugram,Undisclosed,Angel,0.01,2018,Haryana
2795,2796,FLEECA,Transportation,Jaipur,Undisclosed,Seed,0.0,2018,Rajasthan
2796,2797,Flickstree,AI,Mumbai,Undisclosed,Seed,0.0,2018,Maharashtra
2797,2798,Flock,Software,Bangalore,Undisclosed,Seed,0.0,2018,Karnataka
2798,2799,Flyrobe,Personal Care,Mumbai,Undisclosed,Series B,26.4,2018,Maharashtra
2799,2800,Food Memories,Food,Ahmedabad,Undisclosed,Seed,0.0,2018,Gujarat
2800,2801,FoodBuddy,Delivery,Belgaum,Undisclosed,Seed,6.0,2018,Karnataka
2801,2802,Foodmemories,Consumer Internet,Ahmedabad,"Bhavesh manglani, Suraj saharan, Darshan upadhyay, Sanjay notani & others",Seed funding,0.0,2018,Gujarat
2802,2803,Forum for Innovation Incubation Research and Entrepreneurship,Finance,Goa,Undisclosed,Grant,10.3,2018,Goa
2803,2804,Foyr,Design,Hyderabad,Undisclosed,Series A,0.42,2018,Telangana
2804,2805,FreightBazaar,Transportation,Bangalore,Undisclosed,Seed,0.0,2018,Karnataka
2805,2806,FreightBro,Logistics,Mumbai,Undisclosed,Seed,0.0,2018,Maharashtra
2806,2807,Freightwalla,B2B,Mumbai,Undisclosed,Seed,0.0,2018,Maharashtra
2807,2808,Freshboxx,E-Commerce,Hubli,Undisclosed,Seed,0.0,2018,Karnataka
2808,2809,Freyr Energy,Energy,Hyderabad,Undisclosed,Series A,0.0,2018,Telangana
2809,2810,Fric Bergen,Food ,Alwar,Undisclosed,Venture - Series Unknown,0.0,2018,Rajasthan
2810,2811,Front Desk AI,Technology,Bengaluru,Speciale invest & others,Seed/ Angel Funding,9.08,2018,Karnataka
2811,2812,Furlenco,E-Commerce,Bengaluru,Undisclosed,Series C,0.0,2018,Karnataka
2812,2813,Fusion Microfinance,Finance,New Delhi,Undisclosed,Series E,520.0,2018,Delhi
2813,2814,Fyle,Technology,Bengaluru,Pravega ventures and beenext,Seed / Angel Funding,9.08,2018,Karnataka
2814,2815,Fyle,Technology,Bengaluru,Undisclosed,Seed,0.11,2018,Karnataka
2815,2816,Fynd,E-Commerce,Mumbai,"Google, Kae capital, Iifl, Singularity ventures, Growx, Tracxn labs, Venture catalyst, Patni family office and axis capital.",Seed / Angel Funding,0.0,2018,Maharashtra
2816,2817,Gaana,Entertainment,Gurugram,"Tencent holdings ltd, Times internet",Private Equity,948.75,2018,Haryana
2817,2818,Gaia Smart Cities,Technology,Mumbai,Undisclosed,Seed,0.0,2018,Maharashtra
2818,2819,GalaxyCard,FinTech,Noida,Undisclosed,Seed,0.0,2018,Uttar Pradesh
2819,2820,GamingMonk,Entertainment,New Delhi,Undisclosed,Series A,4.0,2018,Delhi
2820,2821,Gegadyne Energy,Energy,Mumbai,Undisclosed,Angel,0.0,2018,Maharashtra
2821,2822,Generico,Healthcare,Mumbai,Undisclosed,Series A,0.0,2018,Maharashtra
2822,2823,Genius Corner,EdTech,Noida,Individual investors,Seed Funding,2.29,2018,Uttar Pradesh
2823,2824,GenRobotic,Robotics,Trivandrum,Undisclosed,Seed,0.0,2018,Kerala
2824,2825,GigIndia,Gig Economy,Pune,"Jessica wong, Hiro mashita, Xue manzi and yiyun zhang.",Seed / Angel Funding,0.0,2018,Maharashtra
2825,2826,Glassic,E-Commerce,Bengaluru,"Chennai angels, Lead angels, Letsventure",Angel / Seed Funding,0.0,2018,Karnataka
2826,2827,Go Payments,Services,Mumbai,Undisclosed,Corporate Round,0.0,2018,Maharashtra
2827,2828,Goals101,Finance,New Delhi,Undisclosed,Seed,0.35,2018,Delhi
2828,2829,GoBolt,Logistics,New Delhi,Undisclosed,Venture - Series Unknown,40.0,2018,Delhi
2829,2830,GoBumpr,Automotive,Chennai,Undisclosed,Seed,0.06,2018,Tamil Nadu
2830,2831,GoDesi,Food ,Bengaluru,Lead angels network,Seed/ Angel Funding,1.15,2018,Karnataka
2831,2832,GoGaga,Consumer Internet,Bengaluru,Undisclosed,Non-equity Assistance,0.0,2018,Karnataka
2832,2833,GoZefo,E-Commerce,Bengaluru,Undisclosed,Venture - Series Unknown,21.0,2018,Karnataka
2833,2834,Gramophone,Entertainment,Indore,Infoedge,Seed/Angel Funding,8.25,2018,Madhya Pradesh
2834,2835,Gramophone,Entertainment,Indore,Undisclosed,Seed,0.1,2018,Madhya Pradesh
2835,2836,GreyAtom,Technology,Mumbai,Pravega ventures,Private Equity,8.25,2018,Maharashtra
2836,2837,Grofers,E-Commerce,Gurugram,"Softbank, Tiger global and apoletto managers.",Private Equity,511.5,2018,Haryana
2837,2838,Grover Zampa,Food,Mumbai,Ravi viswanathan,Private Equity,67.65,2018,Maharashtra
2838,2839,Groww,Finance,Bengaluru,"Insignia ventures partners, Lightbridge partners & kairos",Seed/ Angel Funding,9.08,2018,Karnataka
2839,2840,Groww,Finance,Bengaluru,Undisclosed,Seed,0.01,2018,Karnataka
2840,2841,Guardian.in,Healthcare,Mumbai,Undisclosed,Seed,0.0,2018,Maharashtra
2841,2842,Gugu,Electronics,Coimbatore,Undisclosed,Seed,0.0,2018,Tamil Nadu
2842,2843,Guiddoo World,Travel,Mumbai,Individual investors,Pre-Series A,6.6,2018,Maharashtra
2843,2844,Guiddoo World,Travel,Mumbai,Undisclosed,Seed,0.0,2018,Maharashtra
2844,2845,GuruQ,EdTech,New Delhi,Undisclosed,Seed,2.5,2018,Delhi
2845,2846,Haazri,Food,Mumbai,Undisclosed,Seed,1.25,2018,Maharashtra
2846,2847,HalaPlay Technologies,Entertainment,Bengaluru,Undisclosed,Series A,0.0,2018,Karnataka
2847,2848,Hansel io,Software,Bengaluru,Vertex ventures,Seed/ Angel Funding,33.0,2018,Karnataka
2848,2849,Hansel io,Software,Bengaluru,Undisclosed,Series A,0.4,2018,Karnataka
2849,2850,happay,FinTech,Bengaluru,Sequoia and jerry yang,Seed / Angel Funding,2.06,2018,Karnataka
2850,2851,Happy Cow Dairy,AgriTech,Mumbai,Undisclosed,Seed,4.0,2018,Maharashtra
2851,2852,Happy EMI,FinTech,Bengaluru,Aj ventures and jain international trade organisation (jito),Seed/ Angel Funding,8.25,2018,Karnataka
2852,2853,Happyeasygo Group,Travel,Haryana,Undisclosed,Series A,0.0,2018,Haryana
2853,2854,HappyEMI,FinTech,Bengaluru,Undisclosed,Seed,0.1,2018,Karnataka
2854,2855,HappyGoEasy,Consumer Internet,Gurugram,"Korea investment partners (kip), Samsung and china-based citic capital and others",Private Equity,0.0,2018,Haryana
2855,2856,Hashtag Loyalty Private Limited,Marketing,Mumbai,Undisclosed,Seed,0.0,2018,Maharashtra
2856,2857,Hasura,Cloud Tech,Bengaluru,Undisclosed,Seed,0.16,2018,Karnataka
2857,2858,HealthAssure,Healthcare,Mumbai,Undisclosed,Seed,0.1,2018,Maharashtra
2858,2859,HealthCare,Consumer Internet,Mumbai,Hr fund,Seed / Angel Funding,8.25,2018,Maharashtra
2859,2860,HealthFin,Finance,Pune,"Axilor, Sprout venture partners and others",Seed/ Angel Funding,0.0,2018,Maharashtra
2860,2861,Healthi,Healthcare,Bengaluru,Montane ventures,Private Equity,25.58,2018,Karnataka
2861,2862,HealthifyMe,Healthcare,Bengaluru,Sistema asia fund,Private Equity,99.0,2018,Karnataka
2862,2863,HealthifyMe,Healthcare,Bengaluru,"Sistema asia fund, Vc samsung next, Chiratae ventures, Inventus capital, Blume ventures and innoven capital.",Series B (Extension),49.5,2018,Karnataka
2863,2864,HealthifyMe,Healthcare,Bengaluru,Undisclosed,Series B,0.0,2018,Karnataka
2864,2865,Healthkart,E-Commerce,Gurugram,Undisclosed,Venture - Series Unknown,1.0,2018,Haryana
2865,2866,HealthPlix,Healthcare,Bengaluru,Undisclosed,Series A,0.3,2018,Karnataka
2866,2867,Healthsignz,Healthcare,Hyderabad,Kantilal patel,Seed/ Angel Funding,41.25,2018,Telangana
2867,2868,HealWell24,Healthcare,Mumbai,Undisclosed,Seed,0.02,2018,Maharashtra
2868,2869,Heelium,Sports,Pune,Undisclosed,Seed,0.0,2018,Maharashtra
2869,2870,HelloVerify,Services,Noida,Undisclosed,Seed,0.0,2018,Uttar Pradesh
2870,2871,Hero Electric,Manufacturing,New Delhi,Undisclosed,Venture - Series Unknown,160.0,2018,Delhi
2871,2872,Hey Deedee,Delivery,Mumbai,Undisclosed,Seed,3.3,2018,Maharashtra
2872,2873,HeyHolidays,Travel,Bengaluru,Undisclosed,Seed,0.1,2018,Karnataka
2873,2874,HighRadius,FinTech,Hyderabad,"Pnc, Citi ventures",Private Equity,0.0,2018,Telangana
2874,2875,HipBar,Consumer Internet,Bengaluru,Diageo india,Private Equity,33.0,2018,Karnataka
2875,2876,Hippo Video,Software,Chennai,Undisclosed,Seed,0.0,2018,Tamil Nadu
2876,2877,hoi foods,Food,Gurugram,Undisclosed,Seed,3.6,2018,Haryana
2877,2878,HolaChef,Delivery,Mumbai,Ashok kumar gajera,Seed / Angle Funding,2.57,2018,Maharashtra
2878,2879,HomeLane,Design,Bengaluru,Brand capital,Seed/ Angel Funding,28.46,2018,Karnataka
2879,2880,Hospals,Healthcare,New Delhi,Undisclosed,Seed,0.0,2018,Delhi
2880,2881,Hotelogix,Technology,Noida,"Vertex ventures, Accel partners and saama capital",Private Equity,41.25,2018,Uttar Pradesh
